Node Number	X Location (mm)	Y Location (mm)	Z Location (mm)	Stress Intensity (MPa)
2248	4800.	1300.	0.	3.8972e-004
2249	4800.	1100.	0.	4.1418e-004
2250	4800.	1000.	0.	4.2853e-004
2251	4800.	900.	0.	4.4424e-004
2252	4800.	500.	0.	5.0781e-004
2253	4800.	3700.	0.	6.0182e-005
2254	4700.	200.	0.	2.5983e-004
2255	4800.	400.	0.	5.1176e-004
2256	4800.	300.	0.	4.9572e-004
2257	4500.	200.	0.	2.1038e-004
2258	4300.	200.	0.	2.4261e-004
2259	4100.	200.	0.	2.7375e-004
2260	3900.	200.	0.	2.9815e-004
2261	3800.	200.	0.	3.0814e-004
2262	3700.	300.	0.	2.8498e-004
2263	3700.	400.	0.	2.5982e-004
2264	3700.	600.	0.	2.3103e-004
2265	3700.	800.	0.	2.2631e-004
2266	3700.	1000.	0.	2.3512e-004
2267	3700.	1100.	0.	2.4185e-004
2268	3700.	1400.	0.	2.6525e-004
2269	3700.	1600.	0.	2.8215e-004
2270	3700.	1700.	0.	2.9101e-004
2271	3700.	1800.	0.	3.0021e-004
2272	3700.	2000.	0.	3.1984e-004
2273	3700.	2100.	0.	3.3034e-004
2274	3700.	2200.	0.	3.4134e-004
2275	3700.	2300.	0.	3.5285e-004
2276	3700.	2400.	0.	3.6485e-004
2277	3700.	2500.	0.	3.7733e-004
2278	3700.	2600.	0.	3.9025e-004
2279	3700.	2700.	0.	4.0354e-004
2280	3700.	2800.	0.	4.1709e-004
2281	3700.	2900.	0.	4.3075e-004
2282	3700.	3000.	0.	4.4429e-004
2283	3700.	3200.	0.	4.6952e-004
2284	3700.	3400.	0.	4.9598e-004
2285	3700.	3600.	0.	5.0255e-004
2286	3700.	3700.	0.	4.8135e-004
2287	3900.	3800.	0.	2.3605e-004
2288	4100.	3800.	0.	1.5137e-004
2289	4300.	3800.	0.	1.028e-004
2290	4500.	3800.	0.	7.0671e-005
2291	4700.	3800.	0.	4.7391e-005
2292	4800.	3800.	0.	3.7945e-005
2293	4800.	200.	0.	3.8973e-004
2294	3700.	200.	0.	3.168e-004
2295	3700.	3800.	0.	4.2094e-004
2296	4900.	3800.	0.	2.9618e-005
2297	4900.	3700.	0.	4.9068e-005
2298	4900.	3600.	0.	6.8386e-005
2299	4900.	3500.	0.	8.7694e-005
2300	4900.	3400.	0.	1.0704e-004
2301	4900.	3300.	0.	1.2638e-004
2302	4900.	3200.	0.	1.4558e-004
2303	4900.	3100.	0.	1.6447e-004
2304	4900.	3000.	0.	1.8286e-004
2305	4900.	2900.	0.	2.0058e-004
2306	4900.	2800.	0.	2.1745e-004
2307	4900.	2700.	0.	2.3338e-004
2308	4900.	2600.	0.	2.4828e-004
2309	4900.	2500.	0.	2.6211e-004
2310	4900.	2400.	0.	2.7489e-004
2311	4900.	2300.	0.	2.8666e-004
2312	4900.	2200.	0.	2.9751e-004
2313	4900.	2100.	0.	3.0757e-004
2314	4900.	2000.	0.	3.1697e-004
2315	4900.	1900.	0.	3.2592e-004
2316	4900.	1800.	0.	3.3464e-004
2317	4900.	1700.	0.	3.4337e-004
2318	4900.	1600.	0.	3.5242e-004
2319	4900.	1500.	0.	3.6209e-004
2320	4900.	1400.	0.	3.7273e-004
2321	4900.	1300.	0.	3.8467e-004
2322	4900.	1200.	0.	3.9828e-004
2323	4900.	1100.	0.	4.1389e-004
2324	4900.	1000.	0.	4.318e-004
2325	4900.	900.	0.	4.5227e-004
2326	4900.	800.	0.	4.7556e-004
2327	4900.	700.	0.	5.0187e-004
2328	4900.	600.	0.	5.3152e-004
2329	4900.	500.	0.	5.6453e-004
2330	4900.	400.	0.	6.0275e-004
2331	4900.	300.	0.	6.3814e-004
2332	4900.	200.	0.	7.0442e-004
2333	4900.	100.	0.	7.1484e-004
2334	4800.	100.	0.	1.9841e-004
2335	4700.	100.	0.	1.793e-004
2336	4600.	100.	0.	2.1235e-004
2337	4500.	100.	0.	2.4441e-004
2338	4400.	100.	0.	2.6762e-004
2339	4300.	100.	0.	2.8632e-004
2340	4200.	100.	0.	3.0179e-004
2341	4100.	100.	0.	3.1507e-004
2342	4000.	100.	0.	3.267e-004
2343	3900.	100.	0.	3.3699e-004
2344	3800.	100.	0.	3.461e-004
2345	3700.	100.	0.	3.5411e-004
2346	3600.	100.	0.	3.6107e-004
2347	3600.	200.	0.	3.2423e-004
2348	3600.	300.	0.	2.9217e-004
2349	3600.	400.	0.	2.6577e-004
2350	3600.	500.	0.	2.4553e-004
2351	3600.	600.	0.	2.3148e-004
2352	3600.	700.	0.	2.2314e-004
2353	3600.	800.	0.	2.196e-004
2354	3600.	900.	0.	2.1979e-004
2355	3600.	1000.	0.	2.2271e-004
2356	3600.	1100.	0.	2.2753e-004
2357	3600.	1200.	0.	2.3365e-004
2358	3600.	1300.	0.	2.407e-004
2359	3600.	1400.	0.	2.4845e-004
2360	3600.	1500.	0.	2.5679e-004
2361	3600.	1600.	0.	2.6569e-004
2362	3600.	1700.	0.	2.7514e-004
2363	3600.	1800.	0.	2.8517e-004
2364	3600.	1900.	0.	2.958e-004
2365	3600.	2000.	0.	3.0707e-004
2366	3600.	2100.	0.	3.1901e-004
2367	3600.	2200.	0.	3.3165e-004
2368	3600.	2300.	0.	3.4501e-004
2369	3600.	2400.	0.	3.5911e-004
2370	3600.	2500.	0.	3.7394e-004
2371	3600.	2600.	0.	3.8951e-004
2372	3600.	2700.	0.	4.0581e-004
2373	3600.	2800.	0.	4.2277e-004
2374	3600.	2900.	0.	4.4033e-004
2375	3600.	3000.	0.	4.5836e-004
2376	3600.	3100.	0.	4.7673e-004
2377	3600.	3200.	0.	5.0318e-004
2378	3600.	3300.	0.	5.2984e-004
2379	3600.	3400.	0.	5.5592e-004
2380	3600.	3500.	0.	5.7998e-004
2381	3600.	3600.	0.	5.9955e-004
2382	3600.	3700.	0.	6.0861e-004
2383	3600.	3800.	0.	5.9497e-004
2384	3600.	3900.	0.	5.0086e-004
2385	3700.	3900.	0.	2.8356e-004
2386	3800.	3900.	0.	1.9437e-004
2387	3900.	3900.	0.	1.4575e-004
2388	4000.	3900.	0.	1.1405e-004
2389	4100.	3900.	0.	9.138e-005
2390	4200.	3900.	0.	7.3945e-005
2391	4300.	3900.	0.	5.9854e-005
2392	4400.	3900.	0.	4.8064e-005
2393	4500.	3900.	0.	3.7985e-005
2394	4600.	3900.	0.	2.9283e-005
2395	4700.	3900.	0.	2.1781e-005
2396	4800.	3900.	0.	1.5414e-005
2397	4900.	3900.	0.	1.0241e-005
2398	3700.	3100.	0.	4.5737e-004
2399	4000.	1000.	0.	2.8337e-004
2400	4400.	2800.	0.	3.1555e-004
2401	3800.	1500.	0.	2.9053e-004
2402	4400.	3200.	0.	2.5797e-004
2403	4400.	3000.	0.	2.9128e-004
2404	4400.	1000.	0.	3.6614e-004
2405	4000.	3800.	0.	1.87e-004
2406	3700.	900.	0.	2.2965e-004
2407	4800.	600.	0.	4.9472e-004
2408	4700.	1000.	0.	4.1911e-004
2409	3800.	3800.	0.	3.0718e-004
2410	4800.	800.	0.	4.6103e-004
2411	4400.	200.	0.	2.2523e-004
2412	4600.	2000.	0.	3.4912e-004
2413	3800.	1900.	0.	3.2303e-004
2414	4800.	2400.	0.	2.9113e-004
2415	3700.	700.	0.	2.2629e-004
2416	4500.	1800.	0.	3.634e-004
2417	4700.	1400.	0.	3.8235e-004
2418	4400.	1800.	0.	3.6392e-004
2419	4700.	1200.	0.	3.9952e-004
2420	4200.	400.	0.	2.3349e-004
2421	3800.	1200.	0.	2.6612e-004
2422	3700.	1500.	0.	2.7358e-004
2423	4400.	900.	0.	3.6046e-004
2424	4600.	1600.	0.	3.706e-004
2425	4700.	2800.	0.	2.5651e-004
2426	4700.	3000.	0.	2.239e-004
